Date,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Jawa Tengah,Kalimantan Tengah,Sulawesi Tengah,Jawa Timur,Kalimantan Timur,Nusa Tenggara Timur,Gorontalo,Jambi,Lampung,Maluku,Kalimantan Utara,Maluku Utara,Sulawesi Utara,Sumatra Utara,Papua,Riau,Riau Islands,Sulawesi Tenggara,Kalimantan Selatan,Sulawesi Selatan,Sumatra Selatan,DKI Jakarta,DI Yogyakarta,Jawa Barat,Kalimantan Barat,Nusa Tenggara Barat,Papua Barat,Sulawesi Barat,Sumatra Barat
2024-11-08,0,51,0,82,0,0,88,0,67,52,0,0,0,0,0,0,0,0,78,0,38,0,0,85,38,0,75,62,58,0,100,0,0,0
2024-11-09,0,51,0,80,0,0,0,0,74,56,0,0,0,0,0,0,0,0,66,0,51,0,0,0,61,38,68,64,61,0,0,0,0,0
2024-11-10,0,51,0,66,0,0,0,100,69,71,0,0,0,0,0,0,0,0,54,0,50,0,0,60,57,37,81,71,70,61,0,0,100,63
2024-11-11,0,61,0,83,0,0,72,0,66,0,58,0,0,0,0,0,0,0,65,0,46,0,0,52,0,62,68,53,59,77,0,0,0,93
2024-11-12,54,0,0,79,0,0,0,0,71,0,53,0,0,0,0,0,0,0,82,0,55,75,0,0,47,61,70,78,60,56,0,0,0,0
2024-11-13,0,52,0,78,0,0,0,0,79,44,57,0,0,0,0,0,0,0,83,0,49,78,100,66,55,54,72,47,75,0,0,0,0,63
2024-11-14,0,43,0,69,0,0,0,0,75,99,0,0,0,0,0,0,0,0,66,0,66,0,0,55,60,47,62,57,71,51,0,0,0,65
2024-11-15,0,47,0,65,0,0,0,0,60,0,0,0,0,0,0,0,0,0,70,0,44,0,0,0,51,100,68,34,73,0,0,0,0,0
2024-11-16,0,70,0,47,0,0,0,0,65,62,0,0,0,0,0,0,0,0,63,0,45,0,0,0,48,0,64,61,50,0,0,0,0,0
2024-11-17,0,91,0,51,0,0,0,0,65,100,0,0,0,0,0,0,0,0,80,0,0,0,0,73,46,53,72,41,67,0,0,0,0,0
2024-11-18,0,65,0,87,0,0,65,0,73,91,0,0,0,0,0,0,0,0,93,0,37,0,0,0,51,61,98,54,63,49,72,0,0,0
2024-11-19,0,0,0,81,0,0,0,0,65,0,0,0,55,0,0,0,0,0,54,0,40,0,0,45,48,31,67,54,65,0,0,0,0,49
2024-11-20,0,0,0,78,0,0,0,0,69,0,0,0,0,0,0,0,0,0,68,0,42,100,0,0,99,78,84,52,73,47,0,0,0,58
2024-11-21,0,52,0,69,0,0,0,0,72,59,0,0,0,0,0,0,0,0,52,0,55,0,0,77,64,46,83,59,88,0,0,0,0,0
2024-11-22,0,0,0,72,0,0,0,0,59,70,0,0,0,0,0,0,0,0,67,0,42,0,53,0,70,43,72,63,66,0,0,0,0,0
2024-11-23,0,59,0,36,0,0,100,0,57,70,0,0,0,0,0,0,0,0,60,0,0,95,0,0,54,0,67,61,57,0,0,0,0,0
2024-11-24,0,0,0,67,0,0,0,0,60,0,0,0,0,0,0,0,0,0,72,0,51,0,0,0,55,0,75,50,70,0,0,0,0,0
2024-11-25,76,76,0,64,0,0,0,0,90,75,0,0,0,0,0,0,0,0,80,0,81,0,0,0,37,0,78,60,69,53,0,0,0,0
2024-11-26,0,69,0,77,0,0,0,0,76,57,0,0,0,0,0,0,0,0,61,0,0,0,0,0,52,50,74,63,61,73,0,0,0,93
2024-11-27,0,0,0,74,0,0,0,0,61,59,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,77,77,68,0,0,0,0,100
2024-11-28,0,76,0,77,0,0,0,0,78,96,0,0,0,0,0,0,0,0,70,0,39,0,0,0,50,42,87,47,75,0,0,0,0,75
2024-11-29,0,54,0,73,0,0,0,0,85,77,0,0,0,0,0,0,0,0,75,0,44,0,0,55,57,39,69,39,68,52,74,0,0,0
2024-11-30,0,54,0,65,0,0,0,0,55,0,0,0,0,0,0,0,0,0,48,0,0,0,0,64,49,47,74,60,62,0,0,0,0,0
2024-12-01,0,0,0,73,0,0,0,0,72,61,0,0,0,0,0,0,0,0,100,0,0,0,0,0,39,49,75,81,74,61,0,0,0,0
2024-12-02,67,0,0,89,0,0,0,0,84,43,0,0,0,0,0,0,0,0,100,0,77,0,0,53,94,71,98,60,82,76,70,0,0,0
2024-12-03,0,0,0,90,0,0,0,0,88,84,0,0,0,0,0,0,0,63,97,0,100,0,0,61,63,73,94,0,100,64,0,0,0,57
2024-12-04,57,53,0,66,0,0,0,0,93,56,0,0,61,0,0,0,0,0,79,0,0,72,0,100,65,58,83,50,95,0,60,0,0,0
2024-12-05,0,66,0,100,0,0,0,0,85,94,0,0,60,0,0,0,0,0,75,0,73,64,0,92,0,55,100,51,89,52,59,0,0,57
2024-12-06,0,0,0,72,0,0,66,0,100,0,100,0,0,0,0,0,0,0,94,0,51,0,0,62,57,70,79,100,84,57,0,0,0,0
2024-12-07,0,74,0,57,0,0,0,0,70,55,0,0,0,0,0,0,0,0,99,0,0,0,0,0,42,41,69,0,66,0,70,0,0,0
2024-12-08,0,49,0,63,0,0,0,0,53,0,0,0,0,0,0,0,0,0,59,0,0,80,0,0,42,44,80,0,67,83,0,0,0,0
2024-12-09,0,47,0,60,0,0,0,0,81,83,0,0,0,0,0,0,0,0,85,0,52,0,0,47,67,46,69,46,61,0,0,0,0,0
2024-12-10,0,61,0,82,0,0,0,0,76,65,0,0,0,0,0,0,0,0,98,0,72,70,0,65,71,55,78,64,82,0,0,0,0,0
2024-12-11,0,63,0,71,0,0,0,0,81,49,0,0,0,0,0,0,0,0,93,0,0,0,0,0,51,84,77,52,73,65,0,0,0,79
2024-12-12,0,56,0,45,0,0,0,0,70,51,0,0,0,0,0,0,0,0,87,0,0,0,0,57,0,0,80,75,73,0,0,0,0,59
2024-12-13,0,64,0,63,0,0,0,0,80,73,0,0,81,0,0,0,0,0,80,0,0,100,0,68,100,54,61,0,64,0,0,0,0,0
2024-12-14,0,54,0,52,0,0,0,0,57,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,45,0,61,43,55,0,0,0,0,0
2024-12-15,0,52,0,56,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,78,45,70,0,0,0,0,0
2024-12-16,0,91,0,55,0,0,0,0,74,0,0,0,100,0,0,0,0,0,88,0,55,0,0,0,0,57,84,41,65,63,0,0,0,0
2024-12-17,0,61,0,77,0,0,0,0,69,63,0,0,0,0,0,0,0,0,71,0,0,0,0,0,41,39,82,54,58,0,0,0,0,0
2024-12-18,0,47,0,80,0,0,0,0,71,0,0,0,0,0,0,0,0,0,62,0,0,0,0,72,0,44,60,58,62,55,0,0,0,0
2024-12-19,0,0,0,57,0,0,0,0,64,0,0,0,0,0,0,0,0,0,68,0,56,0,0,0,52,40,72,55,55,0,0,0,0,0
2024-12-20,0,0,0,52,0,0,0,0,62,0,0,0,0,0,72,0,0,0,41,0,0,0,0,0,63,47,63,49,67,0,0,0,0,85
2024-12-21,0,0,0,54,0,0,0,0,61,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,67,53,37,56,0,0,0,0,0
2024-12-22,0,64,0,55,0,0,0,0,59,81,0,0,0,0,0,0,0,0,86,0,0,0,0,0,94,43,67,0,56,0,0,0,0,0
2024-12-23,0,0,0,75,0,0,0,0,67,63,0,0,0,0,0,0,0,0,73,0,45,0,0,0,46,0,61,46,61,100,0,0,0,90
2024-12-24,0,45,0,78,0,0,0,0,77,73,0,0,0,0,0,0,0,0,61,0,42,0,0,0,48,0,53,0,59,0,0,0,0,79
2024-12-25,0,57,0,74,0,0,0,0,71,69,0,0,0,0,0,0,0,0,79,0,0,0,0,0,82,0,83,51,67,0,0,0,0,0
2024-12-26,100,47,0,70,0,0,0,0,60,0,0,0,0,0,0,0,0,0,98,0,0,89,0,0,50,0,67,0,60,0,0,0,0,0
2024-12-27,0,0,0,58,0,0,0,0,74,0,0,0,0,0,0,0,0,0,56,0,73,0,0,0,68,41,86,66,61,0,0,0,0,0
2024-12-28,0,100,0,39,0,0,0,0,66,75,0,0,0,0,0,0,0,0,70,0,0,0,0,0,62,0,68,57,51,64,0,0,0,0
2024-12-29,0,0,0,66,0,0,0,0,59,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,52,0,65,43,53,0,0,0,0,0
2024-12-30,0,0,0,63,0,0,0,0,66,53,0,0,0,0,100,0,0,0,60,0,0,0,0,0,95,41,81,36,54,0,0,0,0,0
2024-12-31,0,0,0,66,0,0,0,0,51,0,0,0,83,0,0,0,0,0,54,0,45,0,0,0,0,0,68,39,60,0,0,0,0,0
